episode,total_steps,ep_return,avg_return,return_std
234,86429,308.4132511898681,649.0165869274234,1026.3263242369844
235,86565,236.55171328915964,650.6194819181753,1025.6556407209919
236,86714,270.94020684596194,651.4497603047354,1025.3411811415608
237,86789,135.13113310805332,651.2115474522417,1025.4605470509855
238,86952,287.1309682813789,651.4217062359481,1025.385477073732
239,87100,262.1530640124838,646.4297914275473,1027.0240819524668
240,87271,305.5164552674538,614.9870795323134,1027.3535991919707
241,87388,211.98631440300107,441.1519452853293,748.9826901314026
242,87553,297.7777211712238,446.3175393555081,747.6185480769032
243,87727,304.4960870509049,448.87955623569076,747.0401280913113
244,87895,310.6560042490474,452.58148029434733,746.1620318115101
245,88056,286.236385209781,449.55221448433224,746.7080281188797
246,88441,697.2587411420517,299.7657697159599,110.50411551566549
247,88564,223.29499560495003,303.1004726023711,107.08697312669703
248,88743,320.9078383149673,301.4204533459282,106.52940730187217
249,88992,456.35328667778595,308.06956139441644,111.71580695497914
250,89105,206.70053786244927,300.5436147532906,113.21121816403553
251,89282,325.87370849482727,302.22806971401945,113.32488501424992
252,89389,191.9007612552048,292.26153154732225,113.82320800727582
253,89513,230.590423692918,293.49347985617356,113.01283032322401
254,89620,205.171366428937,288.33138561812706,114.56073676405691
255,90102,889.3993606373717,320.9737679855376,173.17250384418801
256,90318,395.077806543453,327.1806479704122,173.4923436150222
257,92318,3488.8536009454497,494.86677136228207,707.0683132382547
258,92456,239.6740172428884,492.4939238103575,707.8406798664194
259,92614,292.377684851558,494.0051548523112,707.3794060648235
260,92916,559.9919270705977,506.7289284424684,706.1621930704579
261,93491,1032.0392036831531,547.731572906476,711.6443703888677
262,93586,179.9859913109629,541.8419864134629,714.1715598624717
263,93808,407.15838833110774,546.9751014774731,712.8148411954853
264,94249,793.5390543612897,571.1192539830852,712.5794068633141
265,94352,183.2245874653812,565.9686640958654,714.9881703071071
266,94462,198.43618148631904,541.0275361130787,718.6641607080238
267,94548,156.20039771629243,537.6728062186459,720.2942590573309
268,95046,921.4636013878967,567.7005943722922,723.1442233239973
269,95159,202.00155417609753,554.9830077472077,727.2157238198173
270,95268,191.34890824235822,554.2154262662032,727.5909384840733
271,95408,250.03681581345276,550.4235816321345,728.9673724025752
272,95556,258.3061365846017,553.7438503986043,727.4765324677742
273,95800,444.4448486953389,564.4365716487255,724.2124534504284
274,96124,579.1673425338602,583.1363704539715,719.5076585094804
275,96291,282.819811914188,552.8073930178123,718.7427040258057
276,96518,400.7592072521672,553.091463053248,718.6814282502398
277,96637,195.3060878666968,388.41408739931046,254.65645383601807
278,96806,294.4036757067259,391.1505703225023,253.33404546837102
279,96990,317.4353755614483,392.4034548579968,252.9040553756139
280,97062,124.33706133624355,370.6207115712791,256.27067348059325
281,97212,260.71349080064215,332.0544259271536,207.16553398505158
282,97853,1166.5722776041248,381.38374024181167,272.3030279277182
283,98961,1964.2345542529104,459.2375485379018,439.68777774572357
284,99031,128.25600844054844,425.9733962418647,438.30172509981116
285,99244,391.1031708463475,436.36732541091305,434.8733331497068
286,99479,430.7338447070605,447.98220857195,431.45212447810485
287,99556,143.58793678736927,447.35158552550394,431.88713850807864
288,99903,622.6593171820609,432.4113713152122,420.23900374396493
289,100770,1607.8436267610894,502.7034749444617,487.9420617250783
290,101045,492.8863900061478,517.7803490326512,482.71925475971074
291,101529,857.7745357716632,548.1672350305618,484.03511075840527
292,101616,163.484251717224,543.4261407871928,487.30440951750546
293,102098,886.821774435615,565.5449870742066,492.3235800013722
294,102223,235.49200978757685,548.3612204368925,497.5185378977319
295,104223,3612.512904427307,714.8458750625484,828.0901040763176
296,104420,346.3356809218317,712.1246987460316,829.2064170537099
297,104585,303.37862116988344,717.528325411191,826.1674629704602
298,104737,278.00365750131016,716.7083245009202,826.5950506113873
299,104940,364.4124807523959,719.0571797604678,825.5231882040594
300,105178,432.562814003398,734.4684673938253,817.1109940477351
301,105304,228.6774489584016,732.8666653017134,818.0689760942486
302,105910,1081.382551247613,728.6071789838877,816.0188996922209
303,106008,177.53724421272335,639.2723134818784,772.4967828964499
304,106167,288.9910040340704,647.3090632615545,767.9613641485245
305,107522,2264.0004328394893,740.9539263612116,841.6636933466266
306,109522,3600.9945609783936,899.4669621747784,1042.8092763324694
307,109626,180.72350128009927,901.3237403994148,1041.4939713016036
308,110142,946.3497623916835,917.5082626598958,1039.5510702179351
309,110360,389.3416760383738,856.5831651237601,1032.9929387445986
310,110459,179.39860304147305,840.9087757755264,1040.7419970191188
311,110562,188.39208413578638,807.4396531937324,1050.3801222145055
312,110678,216.58538943807267,810.0947100797749,1048.8149798280272
313,111032,647.5221896120128,798.1297308385948,1049.236312888451
314,111379,632.722994044885,817.9912800514602,1042.1335175101026
315,111526,263.7580691296683,650.5535382865781,826.3764505961427
